atm_count,restaurant_count,pub_count,shop_count,bus_stop_count,train_station_count,subway_station_count,park_count,burglary_density_per_km2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.4453055511059
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,403.7720815867714
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.22365858410745
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.1852794985135
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.32496334500635
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,260.7337612361575
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.3730193033015
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.4426611986021
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,257.09604544700807
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.2095420694084
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.85977386813175
0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,352.7622947411715
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.97985591330684
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104.23799016907552
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.52791511120097
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.6844809888642
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.7318037870187
0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,348.6027560357312
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.1210873889282
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.24199439467407
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.888769195967
2.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,445.53795183260155
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.9858076264183
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.73107871761474
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.1434623877166
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0008559084837
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.3542259246643
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.51782567857583
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.08943075726387
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.7406624216576
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.7888019049989
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,322.611411605183
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,524.2470832357511
